transaction_description,amount,date,category
Uber,303.69,2023-04-30,Travel
Hotstar,5.84,2023-02-12,Entertainment
Vedantu,37.6,2023-11-08,Education
Uber,249.2,2023-10-20,Travel
ATM Withdrawal,326.9,2022-07-09,Others
Ajio,458.17,2023-01-14,Shopping
Water Board,172.42,2022-02-15,Utilities
Air India,593.69,2023-04-22,Travel
Ola,983.49,2022-10-03,Travel
Reliance Fresh,756.73,2023-12-15,Groceries
PVR Cinemas,20.21,2023-11-16,Entertainment
Tata CLiQ,327.45,2023-02-28,Shopping
Barbeque Nation,55.43,2022-03-04,Dining
Fortis Hospital,138.57,2023-03-05,Healthcare
ATM Withdrawal,2158.59,2023-08-10,Others
McDonald's,76.86,2022-11-03,Dining
BookMyShow,345.46,2022-02-05,Entertainment
UPI Transfer,481.37,2023-06-14,Others
BESCOM,606.11,2023-04-05,Utilities
Mahanagar Gas,410.09,2022-08-05,Utilities
Swiggy,4.91,2022-02-13,Dining
Apollo Pharmacy,197.6,2023-12-01,Healthcare
1mg,364.61,2023-10-05,Healthcare
Indane Gas,45.98,2022-09-22,Utilities
Amazon,215.87,2022-03-31,Shopping
Fortis Hospital,16.88,2023-02-11,Healthcare
PhonePe,40.92,2022-10-10,Others
ATM Withdrawal,252.86,2022-01-13,Others
ATM Withdrawal,71.19,2022-04-26,Others
1mg,419.13,2022-06-01,Healthcare
PVR Cinemas,584.73,2023-07-31,Entertainment
Hotstar,806.19,2023-07-03,Entertainment
Ajio,111.67,2022-09-28,Shopping
MedPlus,91.65,2023-08-09,Healthcare
Coursera,55.22,2022-06-26,Education
Air India,505.89,2022-05-28,Travel
Apollo Pharmacy,612.9,2023-02-10,Healthcare
Flipkart,16.05,2022-02-20,Shopping
BYJU'S,1376.1,2023-01-17,Education
D-Mart,26.69,2022-11-07,Groceries
IRCTC,389.68,2023-05-19,Travel
Netflix,617.32,2022-05-18,Entertainment
Air India,1023.85,2022-11-25,Travel
Air India,626.03,2023-09-12,Travel
Netflix,809.06,2023-03-29,Entertainment
McDonald's,207.34,2023-05-12,Dining
PhonePe,843.23,2022-02-27,Others
Google Pay,41.75,2022-03-09,Others
Indigo Airlines,1126.03,2023-02-18,Travel
Indane Gas,396.59,2023-08-06,Utilities
Reliance Fresh,849.95,2022-07-17,Groceries
Zomato,301.03,2022-09-13,Dining
Spencer's,515.82,2022-02-21,Groceries
Flipkart,373.7,2022-10-08,Shopping
Ajio,657.62,2023-06-02,Shopping
Apollo Pharmacy,42.58,2023-11-29,Healthcare
Reliance Fresh,31.13,2023-01-17,Groceries
Unacademy,141.91,2023-04-02,Education
Water Board,86.91,2023-08-24,Utilities
PhonePe,1027.02,2022-12-19,Others
BSNL Bill,123.73,2023-12-07,Utilities
Hotstar,1862.05,2022-01-29,Entertainment
Apollo Pharmacy,205.41,2022-06-16,Healthcare
Swiggy,100.52,2023-10-25,Dining
Swiggy,779.61,2022-10-03,Dining
Fortis Hospital,537.51,2022-01-21,Healthcare
Spencer's,344.77,2022-05-16,Groceries
Indane Gas,405.25,2022-01-09,Utilities
Domino's,635.06,2023-09-15,Dining
IRCTC,129.68,2023-03-10,Travel
Practo,2804.32,2023-04-16,Healthcare
Ola,1840.32,2023-04-23,Travel
Indigo Airlines,525.38,2023-10-01,Travel
Fortis Hospital,111.29,2022-04-15,Healthcare
Nature's Basket,570.07,2023-11-10,Groceries
Tata CLiQ,37.47,2023-10-25,Shopping
IRCTC,15.57,2023-12-02,Travel
BookMyShow,148.99,2022-03-07,Entertainment
Myntra,310.53,2023-10-18,Shopping
Myntra,1013.51,2022-09-25,Shopping
Ola,649.45,2022-06-03,Travel
Google Pay,678.77,2022-02-28,Others
Practo,277.12,2023-11-29,Healthcare
BESCOM,212.27,2023-11-03,Utilities
BYJU'S,231.84,2022-09-23,Education
MedPlus,2197.03,2023-02-02,Healthcare
Nature's Basket,20.47,2023-12-27,Groceries
Domino's,1008.82,2024-01-01,Dining
Barbeque Nation,432.18,2023-10-16,Dining
BYJU'S,288.67,2023-06-04,Education
Ola,645.96,2023-11-05,Travel
Google Pay,333.42,2022-10-28,Others
BookMyShow,1033.45,2022-05-12,Entertainment
Indigo Airlines,1154.81,2022-07-07,Travel
Amazon,273.85,2022-08-16,Shopping
Flipkart,162.05,2022-11-11,Shopping
Practo,448.67,2023-01-16,Healthcare
Indigo Airlines,1217.28,2022-10-29,Travel
Coursera,118.28,2023-04-27,Education
Nature's Basket,487.71,2023-08-18,Groceries
BookMyShow,499.24,2022-07-19,Entertainment
Paytm Recharge,660.47,2023-11-29,Others
Fortis Hospital,70.53,2022-11-02,Healthcare
Apollo Pharmacy,629.08,2022-06-04,Healthcare
Mahanagar Gas,1198.63,2022-12-17,Utilities
Fortis Hospital,99.03,2023-04-14,Healthcare
BSNL Bill,135.6,2022-07-04,Utilities
BookMyShow,1777.09,2022-12-07,Entertainment
BSNL Bill,99.82,2023-10-12,Utilities
Big Bazaar,963.39,2023-04-08,Groceries
Ola,338.91,2022-06-22,Travel
Water Board,142.0,2022-04-01,Utilities
Indane Gas,1023.0,2023-03-21,Utilities
MedPlus,294.67,2023-03-16,Healthcare
Vedantu,361.61,2022-01-05,Education
Nature's Basket,222.54,2022-07-24,Groceries
Amazon,449.41,2022-11-26,Shopping
Google Pay,89.28,2022-01-19,Others
Reliance Fresh,248.04,2022-08-20,Groceries
Myntra,1743.58,2022-05-13,Shopping
BookMyShow,149.29,2023-05-31,Entertainment
Ola,534.63,2022-03-08,Travel
D-Mart,196.66,2022-10-25,Groceries
Unacademy,742.45,2023-09-03,Education
PhonePe,70.13,2023-03-21,Others
BSNL Bill,1750.31,2023-05-17,Utilities
Flipkart,302.38,2022-06-18,Shopping
Apollo Pharmacy,134.63,2022-08-22,Healthcare
Swiggy,38.17,2022-08-05,Dining
Nature's Basket,93.02,2023-06-01,Groceries
BESCOM,366.75,2023-01-11,Utilities
Spencer's,205.49,2023-10-18,Groceries
Indigo Airlines,882.7,2023-10-01,Travel
Nature's Basket,281.84,2022-02-19,Groceries
PVR Cinemas,142.98,2022-02-19,Entertainment
BookMyShow,480.05,2023-03-31,Entertainment
Apollo Pharmacy,613.41,2023-07-15,Healthcare
Air India,91.39,2023-12-20,Travel
Mahanagar Gas,91.73,2023-12-13,Utilities
D-Mart,18.68,2023-03-07,Groceries
Spotify,666.67,2022-10-04,Entertainment
Water Board,545.03,2022-04-18,Utilities
UPI Transfer,321.83,2022-05-01,Others
Uber,929.5,2022-04-19,Travel
Udemy,819.1,2023-09-16,Education
Domino's,440.17,2023-06-20,Dining
Domino's,1013.51,2023-12-22,Dining
Practo,115.24,2022-06-14,Healthcare
Nature's Basket,59.35,2023-05-24,Groceries
McDonald's,157.18,2022-12-05,Dining
Zomato,29.39,2022-01-14,Dining
PVR Cinemas,378.76,2023-08-11,Entertainment
Udemy,1379.19,2022-04-03,Education
Paytm Recharge,20.07,2022-04-14,Others
Ola,65.12,2023-04-13,Travel
IRCTC,300.92,2023-04-21,Travel
Big Bazaar,1358.1,2022-06-28,Groceries
D-Mart,190.01,2023-01-04,Groceries
Ajio,353.86,2022-04-29,Shopping
PVR Cinemas,21.23,2022-01-10,Entertainment
Mahanagar Gas,80.29,2022-12-03,Utilities
Ajio,2157.38,2023-09-29,Shopping
Uber,1677.9,2023-01-17,Travel
Flipkart,2.48,2022-04-27,Shopping
MedPlus,1516.32,2023-04-13,Healthcare
Air India,509.6,2023-12-08,Travel
Vedantu,1012.17,2023-10-27,Education
BESCOM,303.25,2022-05-16,Utilities
Reliance Fresh,362.42,2022-04-17,Groceries
Fortis Hospital,335.54,2023-05-10,Healthcare
Udemy,549.6,2023-09-18,Education
Practo,75.21,2023-09-19,Healthcare
Reliance Fresh,15.22,2023-05-10,Groceries
Coursera,184.03,2023-02-26,Education
Coursera,609.85,2022-03-06,Education
IRCTC,112.73,2022-01-13,Travel
UPI Transfer,559.56,2023-08-02,Others
Domino's,1751.82,2023-06-16,Dining
UPI Transfer,49.3,2022-04-08,Others
1mg,558.29,2023-05-09,Healthcare
Ajio,293.27,2022-06-02,Shopping
UPI Transfer,1013.02,2022-02-25,Others
Reliance Fresh,97.49,2023-06-02,Groceries
Vedantu,589.84,2022-06-19,Education
BookMyShow,910.44,2022-11-25,Entertainment
Domino's,1446.72,2022-10-12,Dining
Nature's Basket,574.82,2022-08-17,Groceries
ATM Withdrawal,343.76,2023-02-17,Others
Zomato,480.97,2023-04-16,Dining
Unacademy,1015.92,2023-04-04,Education
BookMyShow,422.69,2023-04-03,Entertainment
Amazon,15.43,2023-05-25,Shopping
Big Bazaar,1336.45,2023-02-18,Groceries
Apollo Pharmacy,584.83,2023-07-25,Healthcare
Paytm Recharge,564.3,2022-04-04,Others
Indigo Airlines,121.47,2023-07-30,Travel
McDonald's,537.77,2022-12-16,Dining
Amazon,250.33,2022-08-17,Shopping
BYJU'S,526.68,2023-07-28,Education
BYJU'S,56.36,2023-04-09,Education
PVR Cinemas,536.25,2023-11-06,Entertainment
Zomato,3720.86,2022-12-16,Dining
Myntra,24.71,2023-07-15,Shopping
PhonePe,1889.93,2023-12-20,Others
PVR Cinemas,261.2,2022-06-18,Entertainment
Udemy,1023.02,2023-02-24,Education
Hotstar,762.52,2023-09-18,Entertainment
Swiggy,418.53,2022-05-04,Dining
1mg,670.56,2023-04-14,Healthcare
Domino's,1053.98,2022-04-21,Dining
Apollo Pharmacy,258.88,2023-10-11,Healthcare
BookMyShow,198.03,2023-04-14,Entertainment
Google Pay,550.7,2023-05-26,Others
Nature's Basket,824.73,2022-02-19,Groceries
ATM Withdrawal,718.34,2023-08-23,Others
Unacademy,799.28,2022-07-01,Education
Mahanagar Gas,285.98,2022-04-17,Utilities
Fortis Hospital,851.42,2023-09-13,Healthcare
Tata CLiQ,64.04,2023-01-29,Shopping
Fortis Hospital,393.17,2023-12-11,Healthcare
Domino's,2.89,2023-02-12,Dining
Myntra,196.21,2023-04-09,Shopping
Mahanagar Gas,228.22,2023-02-27,Utilities
PhonePe,252.23,2023-12-20,Others
PhonePe,594.49,2023-12-30,Others
Google Pay,245.97,2022-07-25,Others
Barbeque Nation,297.73,2022-10-25,Dining
Flipkart,135.61,2023-12-29,Shopping
Indane Gas,233.61,2023-07-10,Utilities
Amazon,128.91,2022-12-27,Shopping
ATM Withdrawal,38.01,2023-08-20,Others
Fortis Hospital,462.47,2022-10-20,Healthcare
Apollo Pharmacy,551.63,2023-06-20,Healthcare
PVR Cinemas,483.12,2023-01-26,Entertainment
BESCOM,311.34,2023-11-18,Utilities
Reliance Fresh,238.85,2022-10-01,Groceries
BSNL Bill,995.11,2023-12-01,Utilities
Ola,366.03,2022-03-05,Travel
Ola,326.18,2023-07-09,Travel
D-Mart,12.99,2023-04-09,Groceries
Spotify,208.7,2023-11-23,Entertainment
Google Pay,239.18,2023-10-25,Others
ATM Withdrawal,254.43,2022-09-01,Others
PhonePe,433.96,2023-12-11,Others
Spencer's,381.36,2023-02-01,Groceries
Practo,468.13,2023-07-20,Healthcare
Big Bazaar,723.84,2022-09-15,Groceries
Barbeque Nation,838.29,2023-03-30,Dining
Domino's,633.14,2023-08-26,Dining
UPI Transfer,1556.4,2022-07-21,Others
Domino's,9.2,2023-04-05,Dining
BESCOM,108.94,2022-07-11,Utilities
Indane Gas,3.8,2022-05-03,Utilities
Apollo Pharmacy,521.32,2023-03-15,Healthcare
Indigo Airlines,1141.54,2022-09-28,Travel
Mahanagar Gas,139.51,2023-08-22,Utilities
Uber,1308.88,2022-12-05,Travel
Udemy,31.08,2022-02-10,Education
BSNL Bill,1362.36,2023-09-04,Utilities
Nature's Basket,216.64,2023-11-09,Groceries
Air India,53.47,2023-08-10,Travel
PhonePe,332.64,2022-03-16,Others
Tata CLiQ,148.38,2022-08-14,Shopping
Indane Gas,167.65,2022-03-11,Utilities
Google Pay,183.57,2023-03-02,Others
UPI Transfer,812.34,2023-02-18,Others
Hotstar,387.35,2022-08-15,Entertainment
Domino's,186.48,2022-12-06,Dining
Myntra,471.23,2022-08-12,Shopping
ATM Withdrawal,629.66,2023-07-29,Others
Big Bazaar,159.16,2023-11-16,Groceries
Ajio,266.83,2022-09-04,Shopping
Zomato,64.99,2023-11-30,Dining
Ajio,99.93,2022-04-27,Shopping
Practo,571.47,2023-07-08,Healthcare
Uber,100.1,2023-06-14,Travel
Tata CLiQ,372.39,2023-06-05,Shopping
Vedantu,617.3,2022-02-14,Education
Ola,56.52,2022-11-25,Travel
Paytm Recharge,418.87,2022-04-09,Others
Indane Gas,148.24,2023-07-01,Utilities
Big Bazaar,1647.43,2022-08-04,Groceries
McDonald's,330.38,2022-04-17,Dining
Barbeque Nation,819.93,2023-12-21,Dining
Apollo Pharmacy,399.51,2023-12-04,Healthcare
BESCOM,22.19,2023-04-16,Utilities
Amazon,501.4,2022-03-31,Shopping
PVR Cinemas,1512.1,2022-07-02,Entertainment
Indigo Airlines,460.16,2022-03-14,Travel
Domino's,855.15,2023-02-22,Dining
MedPlus,1077.97,2023-10-08,Healthcare
MedPlus,129.44,2022-11-20,Healthcare
Spencer's,119.16,2023-11-21,Groceries
Spotify,472.06,2022-01-07,Entertainment
Spotify,264.69,2022-02-16,Entertainment
Hotstar,915.86,2023-05-30,Entertainment
Hotstar,1151.41,2023-12-04,Entertainment
Indigo Airlines,218.03,2022-03-30,Travel
Air India,135.16,2023-01-26,Travel
Apollo Pharmacy,758.26,2023-05-01,Healthcare
Indane Gas,160.66,2022-08-14,Utilities
Water Board,864.71,2023-07-13,Utilities
Ola,275.6,2022-11-02,Travel
Amazon,550.63,2023-07-21,Shopping
Google Pay,50.21,2022-05-07,Others
Big Bazaar,488.9,2023-08-10,Groceries
Fortis Hospital,300.53,2023-07-15,Healthcare
Hotstar,441.68,2022-08-04,Entertainment
Flipkart,91.97,2023-02-27,Shopping
Google Pay,667.56,2022-06-14,Others
Mahanagar Gas,993.15,2023-09-24,Utilities
Ola,122.15,2022-04-28,Travel
Indane Gas,50.31,2022-02-25,Utilities
ATM Withdrawal,11.96,2023-10-23,Others
Paytm Recharge,513.57,2022-10-25,Others
Hotstar,467.09,2022-04-11,Entertainment
Barbeque Nation,395.6,2023-05-14,Dining
Myntra,131.95,2022-05-12,Shopping
Zomato,247.89,2022-10-19,Dining
Netflix,451.29,2022-11-22,Entertainment
Vedantu,343.35,2022-12-03,Education
Indigo Airlines,2202.57,2022-06-06,Travel
Myntra,73.35,2023-03-15,Shopping
BESCOM,593.96,2022-11-17,Utilities
Swiggy,259.02,2023-12-31,Dining
Practo,279.48,2023-01-04,Healthcare
BSNL Bill,632.21,2023-05-07,Utilities
Vedantu,589.54,2023-01-03,Education
Air India,2369.69,2023-07-19,Travel
Netflix,68.71,2023-10-24,Entertainment
Hotstar,54.97,2022-05-24,Entertainment
Google Pay,644.29,2022-09-27,Others
PVR Cinemas,431.83,2022-01-20,Entertainment
Paytm Recharge,160.21,2023-08-19,Others
Fortis Hospital,41.38,2022-08-06,Healthcare
Nature's Basket,44.78,2022-09-24,Groceries
UPI Transfer,1123.06,2023-04-29,Others
BSNL Bill,106.51,2023-02-06,Utilities
Barbeque Nation,195.32,2022-10-25,Dining
Water Board,128.52,2023-05-29,Utilities
Paytm Recharge,219.25,2023-02-11,Others
Tata CLiQ,35.98,2022-01-11,Shopping
Barbeque Nation,366.01,2023-12-02,Dining
Indane Gas,35.0,2022-05-24,Utilities
Udemy,805.61,2022-07-03,Education
Water Board,133.1,2023-01-03,Utilities
Reliance Fresh,388.28,2023-05-15,Groceries
Zomato,1060.46,2022-09-28,Dining
Flipkart,526.17,2022-02-13,Shopping
Barbeque Nation,380.67,2023-01-05,Dining
MedPlus,196.03,2023-04-11,Healthcare
Big Bazaar,202.48,2023-10-27,Groceries
Amazon,553.55,2023-12-22,Shopping
PhonePe,2569.75,2022-09-27,Others
UPI Transfer,542.12,2022-06-28,Others
MedPlus,407.98,2023-01-10,Healthcare
Spotify,655.87,2022-09-15,Entertainment
1mg,312.94,2023-06-13,Healthcare
Practo,31.01,2022-12-20,Healthcare
Vedantu,413.11,2023-09-11,Education
Nature's Basket,1580.6,2022-05-23,Groceries
Udemy,96.37,2022-08-24,Education
Spotify,585.6,2023-10-21,Entertainment
Ola,112.16,2022-06-03,Travel
Mahanagar Gas,383.75,2023-01-06,Utilities
Netflix,50.84,2023-03-01,Entertainment
Amazon,299.26,2023-05-09,Shopping
Vedantu,705.63,2022-08-04,Education
Water Board,213.53,2022-01-23,Utilities
Zomato,546.68,2022-05-11,Dining
Mahanagar Gas,793.47,2023-10-07,Utilities
Paytm Recharge,1309.87,2023-08-10,Others
BESCOM,133.71,2022-06-20,Utilities
Ola,254.84,2023-06-14,Travel
Fortis Hospital,82.68,2023-08-01,Healthcare
D-Mart,2445.33,2022-03-29,Groceries
McDonald's,1308.65,2023-09-14,Dining
Vedantu,388.22,2022-06-24,Education
McDonald's,922.69,2023-09-08,Dining
Indane Gas,367.98,2022-07-06,Utilities
PhonePe,488.53,2022-06-21,Others
Ajio,46.67,2023-09-03,Shopping
Netflix,703.8,2023-01-23,Entertainment
1mg,68.32,2022-04-22,Healthcare
Reliance Fresh,874.54,2023-06-20,Groceries
ATM Withdrawal,761.69,2022-06-03,Others
Netflix,616.78,2023-05-03,Entertainment
Nature's Basket,18.42,2023-05-31,Groceries
PVR Cinemas,180.58,2023-05-09,Entertainment
Indane Gas,152.66,2023-07-07,Utilities
Spencer's,223.25,2023-06-19,Groceries
Practo,45.86,2022-02-14,Healthcare
ATM Withdrawal,1381.98,2022-08-23,Others
Vedantu,403.5,2022-12-25,Education
BookMyShow,182.3,2022-05-18,Entertainment
Air India,252.9,2022-08-27,Travel
Hotstar,296.38,2023-09-05,Entertainment
ATM Withdrawal,458.89,2022-09-21,Others
Zomato,362.5,2023-12-28,Dining
Nature's Basket,1259.08,2023-06-20,Groceries
Spotify,343.55,2022-01-08,Entertainment
1mg,2424.13,2023-12-06,Healthcare
Ajio,953.33,2023-01-06,Shopping
Netflix,116.92,2023-03-13,Entertainment
IRCTC,1333.9,2023-07-03,Travel
Fortis Hospital,61.86,2023-01-10,Healthcare
Air India,850.36,2022-07-28,Travel
Fortis Hospital,239.52,2023-07-25,Healthcare
Udemy,1051.76,2023-01-15,Education
UPI Transfer,1012.69,2023-05-11,Others
IRCTC,819.76,2023-08-15,Travel
Ajio,780.4,2022-05-22,Shopping
Netflix,181.69,2023-04-03,Entertainment
BESCOM,42.19,2022-08-08,Utilities
ATM Withdrawal,257.9,2022-12-13,Others
UPI Transfer,95.29,2023-12-15,Others
Reliance Fresh,593.64,2023-02-03,Groceries
Big Bazaar,212.4,2022-05-29,Groceries
Unacademy,1856.8,2023-03-22,Education
PVR Cinemas,512.18,2022-09-27,Entertainment
Domino's,864.34,2022-03-23,Dining
Spencer's,71.08,2023-02-15,Groceries
PhonePe,990.3,2023-12-30,Others
Reliance Fresh,1280.4,2023-10-18,Groceries
Vedantu,333.8,2022-01-11,Education
Barbeque Nation,466.02,2022-10-20,Dining
Zomato,723.68,2023-09-06,Dining
UPI Transfer,96.09,2023-12-17,Others
Barbeque Nation,349.15,2022-06-23,Dining
D-Mart,254.3,2022-09-02,Groceries
Reliance Fresh,79.13,2022-03-30,Groceries
Air India,229.06,2022-12-28,Travel
MedPlus,35.3,2023-08-24,Healthcare
Barbeque Nation,13.08,2022-01-16,Dining
PVR Cinemas,72.61,2023-07-17,Entertainment
Indigo Airlines,1649.98,2023-08-20,Travel
Myntra,398.73,2022-10-11,Shopping
Barbeque Nation,1688.09,2022-07-19,Dining
Vedantu,283.26,2023-08-12,Education
D-Mart,186.85,2022-06-29,Groceries
Fortis Hospital,352.75,2022-04-20,Healthcare
Paytm Recharge,289.47,2023-05-31,Others
IRCTC,55.84,2022-04-30,Travel
PhonePe,511.97,2023-07-05,Others
Air India,121.7,2023-01-22,Travel
Udemy,483.25,2022-12-14,Education
Vedantu,525.2,2023-08-24,Education
Spencer's,82.45,2022-04-30,Groceries
Uber,31.66,2023-01-27,Travel
Swiggy,758.8,2022-11-20,Dining
Practo,307.91,2023-06-13,Healthcare
Paytm Recharge,29.96,2023-12-19,Others
Ola,2635.97,2022-10-22,Travel
BookMyShow,29.76,2023-11-21,Entertainment
Amazon,593.78,2023-07-22,Shopping
Water Board,2057.65,2022-11-18,Utilities
Flipkart,136.68,2023-08-11,Shopping
Ola,76.72,2023-12-01,Travel
McDonald's,64.7,2022-07-24,Dining
Swiggy,180.68,2022-09-29,Dining
Swiggy,53.26,2022-07-27,Dining
Barbeque Nation,589.09,2022-12-31,Dining
BESCOM,32.16,2022-05-03,Utilities
BookMyShow,356.09,2023-09-21,Entertainment
Nature's Basket,2856.44,2022-02-13,Groceries
BYJU'S,840.92,2023-09-28,Education
Ajio,477.54,2023-08-12,Shopping
Air India,182.82,2022-07-07,Travel
PhonePe,488.94,2023-02-12,Others
Barbeque Nation,374.37,2022-05-12,Dining
Nature's Basket,277.64,2023-03-10,Groceries
Unacademy,70.04,2022-02-03,Education
PhonePe,1088.44,2023-02-08,Others
Water Board,298.72,2022-05-04,Utilities
ATM Withdrawal,108.22,2022-11-20,Others
Big Bazaar,229.24,2023-11-22,Groceries
McDonald's,267.33,2023-08-18,Dining
Hotstar,878.79,2023-01-06,Entertainment
Ola,661.41,2023-07-16,Travel
Ola,733.33,2022-10-03,Travel
Unacademy,5.55,2022-12-18,Education
Flipkart,269.06,2023-05-26,Shopping
1mg,328.26,2023-03-06,Healthcare
Myntra,9.69,2023-02-15,Shopping
Air India,150.43,2022-07-04,Travel
Indane Gas,714.16,2023-12-04,Utilities
Zomato,73.73,2022-10-04,Dining
Barbeque Nation,383.19,2023-03-19,Dining
1mg,121.16,2022-05-30,Healthcare
Water Board,6.1,2022-01-10,Utilities
Water Board,138.01,2023-05-27,Utilities
Indane Gas,1862.23,2023-07-01,Utilities
Ajio,808.58,2022-11-04,Shopping
Indigo Airlines,1604.17,2023-08-05,Travel
Spencer's,334.57,2022-04-12,Groceries
BESCOM,58.12,2022-08-09,Utilities
Air India,396.99,2023-10-07,Travel
BookMyShow,302.91,2022-12-09,Entertainment
IRCTC,930.1,2023-01-04,Travel
UPI Transfer,51.62,2022-09-21,Others
Amazon,334.95,2023-02-26,Shopping
Hotstar,81.29,2023-11-27,Entertainment
Barbeque Nation,196.28,2023-08-13,Dining
Google Pay,668.48,2022-10-19,Others
Myntra,323.15,2023-11-21,Shopping
ATM Withdrawal,235.71,2023-04-03,Others
BookMyShow,250.83,2023-09-21,Entertainment
Air India,307.58,2023-10-09,Travel
Mahanagar Gas,768.6,2023-10-18,Utilities
Ajio,1113.2,2023-10-09,Shopping
Apollo Pharmacy,1554.28,2022-03-23,Healthcare
BSNL Bill,773.0,2022-08-22,Utilities
Myntra,189.47,2023-10-31,Shopping
IRCTC,582.59,2023-09-12,Travel
Practo,287.77,2023-04-01,Healthcare
Tata CLiQ,146.96,2023-06-18,Shopping
Vedantu,919.02,2022-06-21,Education
BESCOM,19.59,2022-05-09,Utilities
Domino's,1160.18,2023-12-19,Dining
Netflix,309.46,2022-06-20,Entertainment
Apollo Pharmacy,506.95,2022-04-08,Healthcare
BookMyShow,538.46,2023-07-16,Entertainment
Big Bazaar,1127.46,2023-02-11,Groceries
Paytm Recharge,506.22,2022-04-17,Others
Indigo Airlines,475.87,2022-06-09,Travel
BookMyShow,34.49,2022-11-13,Entertainment
Swiggy,365.33,2022-10-18,Dining
Udemy,81.36,2022-05-15,Education
Google Pay,668.63,2022-01-30,Others
D-Mart,358.95,2022-11-30,Groceries
Vedantu,570.07,2023-07-08,Education
Indigo Airlines,21.28,2023-04-01,Travel
Indane Gas,44.3,2022-07-01,Utilities
Unacademy,629.96,2023-03-22,Education
UPI Transfer,37.41,2022-11-14,Others
Ajio,36.96,2023-07-07,Shopping
Zomato,6.09,2023-03-29,Dining
IRCTC,1567.51,2023-02-27,Travel
Ola,668.77,2022-11-07,Travel
Big Bazaar,217.9,2023-06-20,Groceries
BSNL Bill,175.87,2022-10-21,Utilities
Unacademy,215.16,2022-01-09,Education
Vedantu,745.06,2022-11-03,Education
Spencer's,541.42,2022-10-27,Groceries
Zomato,102.4,2023-07-16,Dining
Flipkart,95.65,2023-02-26,Shopping
ATM Withdrawal,51.79,2023-02-09,Others
Swiggy,539.85,2023-10-24,Dining
MedPlus,722.75,2022-08-14,Healthcare
Uber,153.97,2023-03-09,Travel
Barbeque Nation,10.58,2023-09-20,Dining
IRCTC,42.87,2023-10-27,Travel
PhonePe,1718.83,2023-02-27,Others
Zomato,175.09,2022-07-06,Dining
BSNL Bill,733.15,2022-04-24,Utilities
Unacademy,489.97,2023-04-09,Education
Indigo Airlines,240.58,2023-05-19,Travel
Domino's,115.14,2022-01-20,Dining
BESCOM,64.71,2023-07-02,Utilities
Reliance Fresh,477.27,2022-04-15,Groceries
IRCTC,745.01,2022-05-09,Travel
Coursera,516.28,2022-08-27,Education
Netflix,377.83,2022-01-16,Entertainment
Udemy,21.43,2022-12-17,Education
Practo,1728.71,2023-05-26,Healthcare
Ajio,801.51,2023-12-15,Shopping
D-Mart,173.24,2022-03-24,Groceries
BESCOM,1955.27,2022-09-30,Utilities
Apollo Pharmacy,460.5,2023-07-11,Healthcare
Udemy,436.64,2022-07-16,Education
Air India,689.31,2022-01-13,Travel
Netflix,835.04,2023-01-30,Entertainment
Udemy,534.25,2022-02-04,Education
McDonald's,68.54,2022-04-07,Dining
Google Pay,206.45,2023-04-30,Others
Practo,1316.13,2022-11-27,Healthcare
BESCOM,127.2,2023-07-17,Utilities
Paytm Recharge,232.74,2022-09-17,Others
BYJU'S,282.88,2022-07-23,Education
Amazon,289.38,2023-11-14,Shopping
Zomato,474.59,2022-08-30,Dining
Practo,1433.02,2022-01-16,Healthcare
BSNL Bill,137.67,2023-08-22,Utilities
BookMyShow,64.77,2022-09-06,Entertainment
Big Bazaar,109.99,2023-08-19,Groceries
Unacademy,1089.85,2022-06-08,Education
Amazon,518.96,2022-09-12,Shopping
Water Board,168.37,2022-04-04,Utilities
Amazon,846.27,2022-03-03,Shopping
Flipkart,987.97,2023-12-20,Shopping
Paytm Recharge,937.07,2022-05-09,Others
Udemy,1256.2,2022-11-21,Education
PhonePe,145.34,2023-03-26,Others
Zomato,703.33,2023-12-07,Dining
Practo,308.59,2022-05-18,Healthcare
Uber,922.58,2023-05-12,Travel
Unacademy,651.88,2022-10-29,Education
ATM Withdrawal,749.05,2022-07-14,Others
Indane Gas,533.79,2022-12-23,Utilities
Ajio,97.66,2022-10-09,Shopping
Google Pay,393.76,2022-03-12,Others
Google Pay,2088.96,2023-04-06,Others
IRCTC,1385.4,2023-07-09,Travel
Ajio,22.07,2022-01-01,Shopping
ATM Withdrawal,90.05,2022-07-09,Others
Nature's Basket,70.63,2023-01-08,Groceries
Domino's,647.28,2022-03-06,Dining
ATM Withdrawal,851.28,2022-07-14,Others
ATM Withdrawal,120.09,2023-07-19,Others
Indane Gas,352.46,2022-10-17,Utilities
Ajio,918.49,2023-10-19,Shopping
Amazon,659.88,2022-04-09,Shopping
Paytm Recharge,390.7,2022-02-14,Others
Mahanagar Gas,446.22,2022-02-02,Utilities
Zomato,355.0,2023-05-13,Dining
Zomato,176.59,2022-02-02,Dining
MedPlus,416.23,2023-06-23,Healthcare
Uber,583.8,2023-01-11,Travel
Barbeque Nation,1033.06,2022-03-14,Dining
Reliance Fresh,505.7,2023-11-03,Groceries
Coursera,715.9,2023-04-25,Education
D-Mart,87.22,2023-07-26,Groceries
Practo,309.54,2023-12-27,Healthcare
Nature's Basket,4.69,2022-09-30,Groceries
Paytm Recharge,141.63,2022-03-14,Others
Uber,648.16,2022-08-10,Travel
Paytm Recharge,2402.42,2022-04-14,Others
